Location,PopTotal,PopDensity,Continent
Afghanistan,38928.341,59.627,Asia
Africa,1340598.113,45.216,Africa
African Group,1338826.591,45.571,Africa
African Union,1339423.921,45.182,Africa
African Union: Central Africa,158619.638,30.066,Africa
African Union: Eastern Africa,392563.672,61.404,Africa
African Union: Northern Africa,207032.899,29.429,Africa
African Union: Southern Africa,184002.188,31.143,Africa
African Union: Western Africa,397205.524,78.921,Africa
"African, Caribbean and Pacific (ACP) Group of States",1179679.906,48.849,Africa
Albania,2877.8,105.029,Europe
Algeria,43851.043,18.411,Africa
American Samoa,55.197,275.985,Oceania
Andean Community,113170.819,30.413,South America
Andorra,77.265,164.394,Europe
Angola,32866.268,26.363,Africa
Anguilla,15.002,166.689,Carribean
Antigua and Barbuda,97.928,222.564,Carribean
Argentina,45195.777,16.515,South America
Armenia,2963.234,104.083,Asia
Aruba,106.766,593.144,Carribean
Asia,4641054.786,149.552,Asia
Asia-Pacific Economic Cooperation (APEC),2972249.482,49.426,Asia
Asia-Pacific Group,4621682.23,147.46,Asia
Association of Southeast Asian Nations (ASEAN),667301.412,154.26,Asia
Australia,25499.881,3.319,Oceania
Australia/New Zealand,30322.114,3.816,Oceania
Austria,9006.4,109.289,Europe
Azerbaijan,10139.175,122.664,Asia
BRIC,3177822.028,85.664,
BRICS,3237130.718,84.499,
Bahamas,393.248,39.286,Carribean
Bahrain,1701.583,2238.925,Asia
Bangladesh,164689.383,1265.187,Asia
Barbados,287.371,668.305,Carribean
Belarus,9449.321,46.569,Europe
Belgium,11589.616,382.748,Europe
Belize,397.621,17.432,South America
Belt-Road Initiative (BRI),3403061.795,50.461,
Belt-Road Initiative: Africa,1192659.576,49.226,
Belt-Road Initiative: Asia,1572525.725,91.609,
Belt-Road Initiative: Europe,413895.375,21.669,
Belt-Road Initiative: Latin America and the Caribbean,208569.955,33.676,
Belt-Road Initiative: Pacific,15411.164,20.51,
Benin,12123.198,107.513,Africa
Bermuda,62.273,1245.46,Carribean
Bhutan,771.612,20.243,Asia
Black Sea Economic Cooperation (BSEC),343357.186,18.538,
